Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
OA Yahya,@ya28111960,,,,,24,https://twitter.com/ya28111960/status/1672333463540703234,https://twitter.com/ya28111960,"C’est le fruit de la stabilité politique qu’il faut bien évidemment préserver et protéger. Le Sénégal est un modèle en Afrique et il devra le rester, pour lui-même et en tant que source d’inspiration pour notre continent.","Jun 23, 2023",2023-06-23T19:59:02.000Z
ibrahima Touré,@cheikhbi66,,,,,375,https://twitter.com/cheikhbi66/status/1672333663806038018,https://twitter.com/cheikhbi66,"Quand on a les mains propres et nickels, l'esprit cartésien, Quand on est un bâtisseur de villes nouvelles, en seulement un mandat, quand la chance de Dieu nous tombe du ciel,  se frotter à des géants mondiaux devient une évidence. Le Sénégal a bcq prié pour mériter @Macky_Sall","Jun 23, 2023",2023-06-23T19:59:50.000Z
Meissa Sarr,@MeissaSarr2043,"https://pbs.twimg.com/media/FzVS9UoWAAQNC-8?format=jpg&name=small, https://pbs.twimg.com/media/FzVS9UoWAAQNC-8?format=jpg&name=small",,,,14,https://twitter.com/MeissaSarr2043/status/1672334052781637633,https://twitter.com/MeissaSarr2043,,"Jun 23, 2023",2023-06-23T20:01:23.000Z
As salih l'absolu,@SaliouDiedhiou7,,,,,7,https://twitter.com/SaliouDiedhiou7/status/1672334818648965121,https://twitter.com/SaliouDiedhiou7,CPI is coming,"Jun 23, 2023",2023-06-23T20:04:25.000Z
Mor Anta Sally,@MorganMorNdiaye,,,,,92,https://twitter.com/MorganMorNdiaye/status/1672334858352312323,https://twitter.com/MorganMorNdiaye,Le gars au milieu trop couvert sur la photo jusqu'à être derrière des deux blancs,"Jun 23, 2023",2023-06-23T20:04:35.000Z
CielTiger,@ciel_tigers,,,,,5,https://twitter.com/ciel_tigers/status/1672335122568232960,https://twitter.com/ciel_tigers,le clown de service,"Jun 23, 2023",2023-06-23T20:05:38.000Z
N'GUESSAN OKON RODRI,@RODRIOKON,,,,,63,https://twitter.com/RODRIOKON/status/1672335135285338114,https://twitter.com/RODRIOKON,"Bon élève, bravo continue à tuer l'Afrique et ton peuple qui a vraiment vraiment cru en vous à un moment donné.  Mais le pouvoir change le plus doux des êtres.","Jun 23, 2023",2023-06-23T20:05:41.000Z
Hamsa Riجal,@Hamsarijal,"https://pbs.twimg.com/media/FzVee17WcAERrfK?format=jpg&name=small, https://pbs.twimg.com/media/FzVee17WcAERrfK?format=jpg&name=small",1.0,2,,84,https://twitter.com/Hamsarijal/status/1672346725757976576,https://twitter.com/Hamsarijal,,"Jun 23, 2023",2023-06-23T20:51:44.000Z
Félicien,@Watana1Felicien,,,1,,33,https://twitter.com/Watana1Felicien/status/1672351662747336705,https://twitter.com/Watana1Felicien,"Leude de l’Occident en Afrique…Honte à toi Macky, tu ne mérites plus le respect des Africains. C’est vous qui détruisez notre continent. Vous êtes une ordure…","Jun 23, 2023",2023-06-23T21:11:21.000Z
LBernard,@LbernardLB,,1.0,11,,451,https://twitter.com/LbernardLB/status/1672353098298261506,https://twitter.com/LbernardLB,"80% de  vos publications sur Twitter contient toujours ces 3 mots« JE ME RÉJOUIS » Bâ continuer de vous réjouir sans  jouir,car le peuple se réjouira de votre nuisible jouissance à laquelle vous avez jouit en toute impunité de la largesse du pouvoir qu’il vous a confier #Free","Jun 23, 2023",2023-06-23T21:17:04.000Z
zul-noreyni,@Zul_noreyni,"https://pbs.twimg.com/ext_tw_video_thumb/1672354726648610816/pu/img/ys4m4d4O4-ikDR4E.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1672354726648610816/pu/img/ys4m4d4O4-ikDR4E.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1672354726648610816/pu/img/ys4m4d4O4-ikDR4E.jpg",3.0,43,1.0,2.2K,https://twitter.com/Zul_noreyni/status/1672354812602593281,https://twitter.com/Zul_noreyni,Le negre moderne,"Jun 23, 2023",2023-06-23T21:23:52.000Z
Yuri KOVALSKY,@WillyGnonka,,,1,,46,https://twitter.com/WillyGnonka/status/1672357407006105601,https://twitter.com/WillyGnonka,"Réjouis toi jeune homme pendant ta jeunesse, là où u es encore fort, mais souviens toi que la graine de maïs, n'aboutira à rien d'autre que du maïs...
En francais soutenu ""Qui vient par l'épée, ira par l'épée. Qui regne par l'épée, périra par l'épée""","Jun 23, 2023",2023-06-23T21:34:11.000Z
Dou Roméo,@DouRomeo,,,1,,69,https://twitter.com/DouRomeo/status/1672363367313358848,https://twitter.com/DouRomeo,Félicitations monsieur le Président pour vos efforts pour porter le Sénégal toujours haut. Courage pour la suite.,"Jun 23, 2023",2023-06-23T21:57:52.000Z
Abdoulaye SAMATE,@_Samate,,,1,,33,https://twitter.com/_Samate/status/1672368492257976321,https://twitter.com/_Samate,FreeSenegal,"Jun 23, 2023",2023-06-23T22:18:14.000Z
Elhadji Goudiaby,@ElhadjiGou86802,,,1,,11,https://twitter.com/ElhadjiGou86802/status/1672409528179077122,https://twitter.com/ElhadjiGou86802,"Tu es un vendu un complexé de la pure espèce 
À chaque fois tu fais la courbettes devant le petit macroni. Billay yalnala yalla torokhale comme nigue torokhalé Imam Aline badara ndao et tant d'autres Sénégalais innocents","Jun 24, 2023",2023-06-24T01:01:18.000Z
DJAHOUI AMEVI,@gigisoan,,,1,,6,https://twitter.com/gigisoan/status/1672449822823948288,https://twitter.com/gigisoan,La pire malédiction du siècle !,"Jun 24, 2023",2023-06-24T03:41:25.000Z
Malawe Faye,@MalaweFaye,,,1,,4,https://twitter.com/MalaweFaye/status/1672455899414163456,https://twitter.com/MalaweFaye,"Aucune élégance toujours se comporter comme un gamin derrière ces petits présidents .
Vraiment une honte pour l'Afrique.","Jun 24, 2023",2023-06-24T04:05:33.000Z
Ahmadù Bamba Fall L'officiel,@Bambafall2000,"https://pbs.twimg.com/media/FzVeRvUWIAIH41m?format=jpg&name=900x900, https://pbs.twimg.com/media/FzVeRvUWIAIH41m?format=jpg&name=900x900",,7,,88,https://twitter.com/Bambafall2000/status/1672346504084725760,https://twitter.com/Bambafall2000,,"Jun 23, 2023",2023-06-23T20:50:51.000Z
Amir Nourdine Elbachir,@amir_nourdine,,23.0,393,15.0,14K,https://twitter.com/amir_nourdine/status/1672351508736745475,https://twitter.com/amir_nourdine,C'est triste . On est fier de poser parmi des gens qui ne pèsent plus grand chose chez eux.,"Jun 23, 2023",2023-06-23T21:10:45.000Z
malito Mckenbougoul,@mckenbougoul,"https://pbs.twimg.com/ext_tw_video_thumb/1672353826718752771/pu/img/hqIRk-iyTBnmwIS3.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1672353826718752771/pu/img/hqIRk-iyTBnmwIS3.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1672353826718752771/pu/img/hqIRk-iyTBnmwIS3.jpg",7.0,28,4.0,2.8K,https://twitter.com/mckenbougoul/status/1672353875691556864,https://twitter.com/mckenbougoul,Je me demande si c'est la même  personne car on ne peut être versatile à ce point.,"Jun 23, 2023",2023-06-23T21:20:09.000Z
Ibrahima Ndiaye,@Ibrahim07163931,,,2,1.0,280,https://twitter.com/Ibrahim07163931/status/1672363735732592642,https://twitter.com/Ibrahim07163931,N’importe quoi ce guiniol qui nous sert de président me sidère,"Jun 23, 2023",2023-06-23T21:59:20.000Z
عبد الله,@slimablo,,,2,,353,https://twitter.com/slimablo/status/1672368729814888449,https://twitter.com/slimablo,"L’élève et ses maître! Quel abomination ce Président aucune carrure, aucune prestance, zéro charisme! Comment le Sénégal a fait pour elle ce guignol?! Je me le demande tous les jours!
Transition énergétique mon oeil, on a même pas le courant sur 100% du territoire et tu vx parler","Jun 23, 2023",2023-06-23T22:19:10.000Z
nb nb,@nbnb22150076,,,14,,98,https://twitter.com/nbnb22150076/status/1672370428218671105,https://twitter.com/nbnb22150076,Macky Sall yage legey vaye haa,"Jun 23, 2023",2023-06-23T22:25:55.000Z
SALOUM_SALOUM_BI,@LYMAYANKY,"https://pbs.twimg.com/media/FzWAflEWAAE_wRc?format=jpg&name=small, https://pbs.twimg.com/media/FzWAflEWAAE_wRc?format=jpg&name=small",,2,,103,https://twitter.com/LYMAYANKY/status/1672384123967623175,https://twitter.com/LYMAYANKY,,"Jun 23, 2023",2023-06-23T23:20:21.000Z
Adja lo,@Adjalo386686732,,,2,,110,https://twitter.com/Adjalo386686732/status/1672385849562914816,https://twitter.com/Adjalo386686732,"Wakhal gnu fay gnu sunu salaire vraiment li metina, ANSD yoral nagn agent yi akh , on à travailler durement sous la pression et aujourd’hui gnunuy Dawlo","Jun 23, 2023",2023-06-23T23:27:12.000Z
Amadou ndiaye,@amadouisma6,,,,2.0,199,https://twitter.com/amadouisma6/status/1672392109171646465,https://twitter.com/amadouisma6,"Félicitations mon cher président c'est moi Amadou Isma ndiaye de gouriki coliyabe je t'avais envoyé une lettre mais jusqu'à présent aucune de votre reponse 
773612089","Jun 23, 2023",2023-06-23T23:52:05.000Z
Hassan,@Hassansow4,"https://pbs.twimg.com/media/FzW19yrXoAEUP20?format=jpg&name=small, https://pbs.twimg.com/media/FzW19yrXoAEUP20?format=jpg&name=small",1.0,5,,141,https://twitter.com/Hassansow4/status/1672442913039556608,https://twitter.com/Hassansow4,"Macky Sall est un dictateur,un tyran.  La cpi vous attend à bras ouvert
#FreeSenegal","Jun 24, 2023",2023-06-24T03:13:57.000Z
malito Mckenbougoul,@mckenbougoul,https://pbs.twimg.com/ext_tw_video_thumb/1672353826718752771/pu/img/hqIRk-iyTBnmwIS3.jpg,7.0,28.0,4.0,2.8K,https://twitter.com/mckenbougoul/status/1672353875691556864,https://twitter.com/mckenbougoul,Je me demande si c'est la même  personne car on ne peut être versatile à ce point.,"Jun 23, 2023",2023-06-23T21:20:09.000Z
Ibrahima Ndiaye,@Ibrahim07163931,,,2.0,1.0,280,https://twitter.com/Ibrahim07163931/status/1672363735732592642,https://twitter.com/Ibrahim07163931,N’importe quoi ce guiniol qui nous sert de président me sidère,"Jun 23, 2023",2023-06-23T21:59:20.000Z
عبد الله,@slimablo,,,2.0,,353,https://twitter.com/slimablo/status/1672368729814888449,https://twitter.com/slimablo,"L’élève et ses maître! Quel abomination ce Président aucune carrure, aucune prestance, zéro charisme! Comment le Sénégal a fait pour elle ce guignol?! Je me le demande tous les jours!
Transition énergétique mon oeil, on a même pas le courant sur 100% du territoire et tu vx parler","Jun 23, 2023",2023-06-23T22:19:10.000Z
nb nb,@nbnb22150076,,,14.0,,98,https://twitter.com/nbnb22150076/status/1672370428218671105,https://twitter.com/nbnb22150076,Macky Sall yage legey vaye haa,"Jun 23, 2023",2023-06-23T22:25:55.000Z
SALOUM_SALOUM_BI,@LYMAYANKY,"https://pbs.twimg.com/media/FzWAflEWAAE_wRc?format=jpg&name=small, https://pbs.twimg.com/media/FzWAflEWAAE_wRc?format=jpg&name=small",,2.0,,103,https://twitter.com/LYMAYANKY/status/1672384123967623175,https://twitter.com/LYMAYANKY,,"Jun 23, 2023",2023-06-23T23:20:21.000Z
Adja lo,@Adjalo386686732,,,2.0,,110,https://twitter.com/Adjalo386686732/status/1672385849562914816,https://twitter.com/Adjalo386686732,"Wakhal gnu fay gnu sunu salaire vraiment li metina, ANSD yoral nagn agent yi akh , on à travailler durement sous la pression et aujourd’hui gnunuy Dawlo","Jun 23, 2023",2023-06-23T23:27:12.000Z
Amadou ndiaye,@amadouisma6,,,,2.0,199,https://twitter.com/amadouisma6/status/1672392109171646465,https://twitter.com/amadouisma6,"Félicitations mon cher président c'est moi Amadou Isma ndiaye de gouriki coliyabe je t'avais envoyé une lettre mais jusqu'à présent aucune de votre reponse 
773612089","Jun 23, 2023",2023-06-23T23:52:05.000Z
Hassan,@Hassansow4,https://pbs.twimg.com/media/FzW19yrXoAEUP20?format=jpg&name=small,1.0,5.0,,141,https://twitter.com/Hassansow4/status/1672442913039556608,https://twitter.com/Hassansow4,"Macky Sall est un dictateur,un tyran.  La cpi vous attend à bras ouvert
#FreeSenegal","Jun 24, 2023",2023-06-24T03:13:57.000Z
Amadou ndiaye,@amadouisma6,,,,2.0,199,https://twitter.com/amadouisma6/status/1672392109171646465,https://twitter.com/amadouisma6,"Félicitations mon cher président c'est moi Amadou Isma ndiaye de gouriki coliyabe je t'avais envoyé une lettre mais jusqu'à présent aucune de votre reponse 
773612089","Jun 23, 2023",2023-06-23T23:52:05.000Z
Hassan,@Hassansow4,"https://pbs.twimg.com/media/FzW19yrXoAEUP20?format=jpg&name=small, https://pbs.twimg.com/media/FzW19yrXoAEUP20?format=jpg&name=small",1.0,5.0,,141,https://twitter.com/Hassansow4/status/1672442913039556608,https://twitter.com/Hassansow4,"Macky Sall est un dictateur,un tyran.  La cpi vous attend à bras ouvert
#FreeSenegal","Jun 24, 2023",2023-06-24T03:13:57.000Z
Macky Sall,@Macky_Sall,,408.0,3.7K,1.1K,,,https://twitter.com/Macky_Sall,Je condamne fermement la tentative de déstabilisation du Gouvernement gambien. L’Union Africaine rejette avec vigueur toute prise de pouvoir par les armes et reste solidaire du Gouvernement gambien.,,
Malick Yacine ®,@malick_yacine,,5.0,105,2,3.5K,https://twitter.com/malick_yacine/status/1605706095552520195,https://twitter.com/malick_yacine,"Adji Sarr migui destabilisé sa gouvernement, lidjentil lolou !","Dec 21, 2022",2022-12-21T23:25:40.000Z
BUKASA EMMANUEL,@BukasaEmmanuel2,,2.0,34,5,5.3K,https://twitter.com/BukasaEmmanuel2/status/1605663079718608908,https://twitter.com/BukasaEmmanuel2,"Excellence, pour les atrocités à l'est de la RDC vous ne piper mot jusque-là.","Dec 21, 2022",2022-12-21T20:34:44.000Z
Plan Sénégal Émergent #PSE,@PlanPse,,,2,,273,https://twitter.com/PlanPse/status/1605671539831017472,https://twitter.com/PlanPse,Avec vous Excellence nous condamnons cette pratique de prise illégale de pouvoir  et appelons à préserver cette démocratie gambienne .,"Dec 21, 2022",2022-12-21T21:08:21.000Z
Plan Sénégal Émergent #PSE,@PlanPse,"https://pbs.twimg.com/media/FkiASw6WYBQgWz7?format=jpg&name=small, https://pbs.twimg.com/media/FkiASw6WYBQgWz7?format=jpg&name=small",3.0,17,2,1.1K,https://twitter.com/PlanPse/status/1605674330615971840,https://twitter.com/PlanPse,Félicitations Excellence Monsieur le Président,"Dec 21, 2022",2022-12-21T21:19:27.000Z
